,dbn,school_name,school_type_x,quality_review_rating,progress_rating,achievement_rating,environment_rating,college_and_career_readiness,closing_the_achievement_gap,free_lunch,average_grade_8_english,average_grade_8_math,quality_review_how_interesting,quality_review_how_effective,quality_review_how_well_does,quality_review_how_clearly,quality_review_how_well_do,average_sat_score,zip,advanced_placement_courses,online_ap_courses,postalcode
64,03M403,The Global Learning Collaborative,High School,Developing,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.825,2.30,2.18,Developing,Developing,Developing,Proficient,Proficient,1207,10024,"Biology, Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language, Spanish Literature",N/A,10024
65,03M415,Wadleigh Secondary School for the Performing & Visual Arts,High School,Developing,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.766,2.34,2.13,Developing,Developing,Developing,Proficient,Proficient,1195,10026,"Calculus AB, English Literature and Composition, Environmental Science, Spanish Literature, Statistics, United States History, World History",N/A,10026
66,03M417,FRANK McCOURT HIGH SCHOOL,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,N/A,0.34,2.87,2.61,Proficient,Proficient,Developing,Proficient,Well Developed,1468,10024,N/A,N/A,10024
67,03M479,Beacon High School,High School,N/A,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,N/A,0.202,3.50,3.24,N/A,N/A,N/A,N/A,N/A,1710,10023,"Biology, Calculus AB, Chemistry, Spanish Language",N/A,10023
68,03M492,"High School for Law, Advocacy and Community Justice",High School,Well Developed,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.805,2.38,2.21,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,1186,10023,English Literature and Composition,N/A,10023
69,03M494,High School of Arts and Technology,High School,Developing,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.834,2.31,2.23,Developing,Developing,Developing,Developing,Developing,1231,10023,"Art History, Psychology, United States History",N/A,10023
70,03M541,Manhattan / Hunter Science High School,High School,Proficient,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,N/A,0.566,3.17,3.17,Proficient,Proficient,Proficient,Well Developed,Proficient,1564,10023,N/A,N/A,10023
71,03M859,Special Music School,High School,Well Developed,N/A,N/A,N/A,N/A,N/A,0.08,3.07,2.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,10023,Music Theory,N/A,10023
72,03M860,Frederick Douglass Academy II Secondary School,High School,Proficient,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.715,2.15,2.01,Well Developed,Proficient,Developing,Proficient,Proficient,1114,10026,"Calculus AB, English Literature and Composition, Environmental Science, United States History",N/A,10026
73,04M372,ESPERANZA PREPARATORY ACADEMY,High School,Well Developed,N/A,N/A,N/A,N/A,N/A,0.904,2.25,2.17,Well Developed,Proficient,Well Developed,Well Developed,Proficient,,10029,N/A,N/A,10029
74,04M409,Coalition School for Social Change,High School,Proficient,Not Meeting Target,Not Meeting Target,Meeting Target,Not Meeting Target,Not Meeting Target,0.718,2.15,2.03,Proficient,Developing,Developing,Proficient,Proficient,1092,10035,English Literature and Composition,N/A,10035
75,04M435,Manhattan Center for Science and Mathematics,High School,Well Developed,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,0.717,3.03,3.17,Proficient,Well Developed,Well Developed,Well Developed,Proficient,1499,10029,"Biology, Calculus AB, Calculus BC, Chemistry, Computer Science A, English Literature and Composition, Physics B, Physics C: Electricity and Magnetism, Spanish Language, Spanish Literature, Statistics, United States History, World History",N/A,10029
76,04M495,Park East High School,High School,N/A,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.809,2.45,2.33,N/A,N/A,N/A,N/A,N/A,1230,10029,"Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, United States History, World History",N/A,10029
77,04M555,Central Park East High School,High School,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,0.789,2.67,2.53,N/A,N/A,N/A,N/A,N/A,1355,10029,"Calculus AB, Economics: Micro, English Language and Composition, English Literature and Composition, United States History",N/A,10029
78,04M610,Young Women's Leadership School,High School,Proficient,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,0.697,2.85,2.78,Well Developed,Proficient,Proficient,Well Developed,Well Developed,1379,10029,"English Literature and Composition, Government and Politics: United States, Spanish Language, Spanish Literature, United States History",N/A,10029
79,04M680,"Heritage School, The",High School,Proficient,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.744,2.24,2.08,Proficient,Developing,Proficient,Proficient,Proficient,1124,10029,N/A,N/A,10029
80,05M304,Mott Hall High School,High School,Developing,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.85,2.29,2.21,Developing,Developing,Developing,Proficient,Proficient,1219,10030,"English Literature and Composition, Spanish Language, United States History, World History",N/A,10030
81,05M362,Columbia Secondary School,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,N/A,0.515,3.39,3.05,Proficient,Proficient,Well Developed,Well Developed,Well Developed,,10027,"Biology, English Literature and Composition, Spanish Literature, United States History",N/A,10027
82,05M367,Academy for Social Action: A College Board School,High School,Proficient,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.809,2.12,2.02,Proficient,Developing,Proficient,Proficient,Proficient,1184,10027,"Art History, Calculus AB, English Language and Composition, English Literature and Composition, United States History",N/A,10027
83,05M369,Urban Assembly School for the Performing Arts,High School,Developing,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,0.766,2.26,2.14,Developing,Developing,Developing,Developing,Proficient,1146,10027,N/A,N/A,10027
84,05M499,Frederick Douglass Academy,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.708,2.57,2.52,Proficient,Developing,Proficient,Well Developed,Proficient,1359,10039,"Biology, Calculus AB, Calculus BC, Chemistry, English Language and Composition, English Literature and Composition, European History, French Language, Government and Politics: United States, Physics B, Spanish Language, Statistics, United States History",N/A,10039
85,05M670,Thurgood Marshall Academy for Learning and Social Change,High School,Proficient,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.716,2.40,2.29,Proficient,Developing,Proficient,Proficient,Proficient,1247,10030,Biology,N/A,10030
86,06M293,City College Academy of the Arts,High School,N/A,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,0.797,2.80,2.87,N/A,N/A,N/A,N/A,N/A,1360,10040,N/A,N/A,10040
87,06M346,Community Health Academy of the Heights,High School,Proficient,Not Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,0.878,2.16,2.08,Proficient,Developing,Proficient,Proficient,Well Developed,1135,10032,"English Language and Composition, Spanish Literature, Studio Art: 2-D Design, United States History",N/A,10032
88,06M348,Washington Heights Expeditionary Learning School,High School,Well Developed,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.88,2.40,2.50,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,1286,10033,"English Language and Composition, Spanish Language, Spanish Literature, Statistics",N/A,10033
89,06M423,,,,,,,,,,,,,,,,,,10034,N/A,N/A,10034
90,06M462,The College Academy,High School,N/A,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,0.909,2.09,2.12,N/A,N/A,N/A,N/A,N/A,1168,10040,"Biology, English Language and Composition, Spanish Language, United States History",N/A,10040
91,06M463,High School for Media and Communications,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.807,2.13,2.10,Proficient,Developing,Proficient,Proficient,Proficient,1094,10040,"Calculus AB, English Language and Composition, English Literature and Composition, Government and Politics: Comparative, Government and Politics: United States, Spanish Language, Spanish Literature",N/A,10040
92,06M467,High School for Law and Public Service,High School,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.716,2.24,2.14,N/A,N/A,N/A,N/A,N/A,1120,10040,"Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Environmental Science, Government and Politics: Comparative, Government and Politics: United States, Psychology, Spanish Language, Spanish Literature, United States History, World History",N/A,10040
93,06M468,High School for Health Careers and Sciences,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.796,2.19,2.13,Developing,Developing,Developing,Proficient,Developing,1139,10040,"Calculus AB, English Literature and Composition, Spanish Language, Spanish Literature",N/A,10040
94,06M540,A. Philip Randolph Campus High School,High School,Developing,Approaching Target,Approaching Target,Approaching Target,Approaching Target,N/A,0.743,2.58,2.46,Developing,Developing,Developing,Proficient,Proficient,1320,10031,"Biology, Calculus AB, Computer Science A, Economics: Macro, English Language and Composition, English Literature and Composition, Physics B, Psychology, Spanish Language, Spanish Literature, United States History, World History",N/A,10031
95,06M552,Gregorio Luperon High School for Science and Mathematics,High School,N/A,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.957,1.76,2.06,N/A,N/A,N/A,N/A,N/A,1112,10032,"Biology, Calculus AB, Chemistry, Music Theory, Physics B, Spanish Language, Spanish Literature",N/A,10032
96,07X221,South Bronx Preparatory: A College Board School,High School,Proficient,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.875,2.37,2.20,Proficient,Proficient,Proficient,Well Developed,Proficient,1159,10454,"Biology, English Language and Composition, Psychology, Spanish Language, Studio Art: 2-D Design, United States History",Spanish Language,10454
97,07X223,M.S. 223 The Laboratory School of Finance and Technology,High School,Well Developed,N/A,N/A,N/A,N/A,N/A,0.923,2.47,2.43,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,10454,N/A,N/A,10454
98,07X334,International Community High School,High School,Proficient,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Exceeding Target,0.96,1.73,1.93,Developing,Proficient,Proficient,Proficient,Proficient,982,10454,N/A,N/A,10454
99,07X427,Community School for Social Justice,High School,Proficient,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.837,2.17,2.07,Well Developed,Proficient,Proficient,Proficient,Proficient,1051,10451,N/A,N/A,10451
100,07X473,Mott Haven Village Preparatory High School,High School,Developing,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.911,2.21,2.12,Developing,Developing,Developing,Proficient,Developing,1223,10455,N/A,N/A,10455
101,07X495,University Heights Secondary School,High School,N/A,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,N/A,0.84,2.73,2.60,N/A,N/A,N/A,N/A,N/A,1286,10455,"Biology, English Language and Composition, United States History","Biology, English Language and Composition, United States History",10455
102,07X500,Hostos-Lincoln Academy of Science,High School,Developing,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,0.718,2.63,2.63,Developing,Developing,Developing,Proficient,Developing,1340,10455,"Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language, Statistics",N/A,10455
103,07X520,Foreign Language Academy of Global Studies,High School,Developing,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.868,2.05,1.99,Developing,Developing,Developing,Proficient,Developing,1236,10455,English Literature and Composition,N/A,10455
104,07X522,Bronx Design and Construction Academy,High School,Proficient,N/A,N/A,N/A,N/A,N/A,0.872,2.21,2.19,Proficient,Developing,Proficient,Well Developed,Proficient,,10451,N/A,N/A,10451
105,07X527,Bronx Leadership Academy II High School,High School,Proficient,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.832,2.19,2.16,Developing,Developing,Proficient,Proficient,Proficient,1154,10451,"Biology, English Literature and Composition, United States History",N/A,10451
106,07X547,New Explorers High School,High School,Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.872,2.14,2.04,Proficient,Developing,Developing,Proficient,Proficient,1043,10451,"English Language and Composition, Spanish Language",N/A,10451
107,07X548,Urban Assembly School for Careers in Sports,High School,N/A,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.783,2.41,2.32,N/A,N/A,N/A,N/A,N/A,1203,10451,N/A,N/A,10451
108,07X551,The Urban Assembly Bronx Academy of Letters,High School,Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.879,2.22,2.07,Proficient,Developing,Proficient,Well Developed,Proficient,1235,10451,"English Language and Composition, English Literature and Composition, Environmental Science, Government and Politics: United States, United States History",N/A,10451
109,07X600,Alfred E. Smith Career and Technical Education High School,High School,Developing,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.81,2.10,2.05,Developing,Underdeveloped,Developing,Developing,Developing,1154,10451,"English Language and Composition, United States History",N/A,10451
110,07X670,Health Opportunities High School,High School,Proficient,Not Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.853,2.18,2.14,Proficient,Developing,Proficient,Proficient,Proficient,1127,10451,"Biology, European History, Spanish Language, United States History",N/A,10451
111,08X269,Bronx Studio School for Writers and Artists,High School,Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.856,2.34,2.20,Developing,Developing,Proficient,Proficient,Proficient,,10459,N/A,N/A,10459
112,08X282,Women's Academy of Excellence,High School,Developing,Approaching Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,0.763,2.24,2.11,Proficient,Developing,Developing,Developing,Proficient,1188,10473,English Literature and Composition,N/A,10473
