,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
354116,BRONX,HARRASSMENT 2,40.863873,-73.83703,10469,VIOLATION,2022-09-02
354117,BRONX,GRAND LARCENY OF MOTOR VEHICLE,40.8828621313214,-73.9035744897024,10463,FELONY,2022-09-01
354119,BROOKLYN,PETIT LARCENY,40.606815,-73.959806,11229,MISDEMEANOR,2022-09-03
354121,STATEN ISLAND,ASSAULT 3 & RELATED OFFENSES,40.625263,-74.150059,10303,MISDEMEANOR,2022-09-02
354122,QUEENS,ROBBERY,40.70771584,-73.80278703,11432,FELONY,2022-09-01
354126,BRONX,DANGEROUS WEAPONS,40.879722,-73.82443,10475,FELONY,2022-09-03
354128,MANHATTAN,BURGLARY,40.730839,-74.005693,10014,FELONY,2022-09-01
354132,QUEENS,ASSAULT 3 & RELATED OFFENSES,40.707162,-73.785484,11433,MISDEMEANOR,2022-09-01
354137,BROOKLYN,FORGERY,40.698026,-73.975285,11205,FELONY,2022-09-02
354139,BROOKLYN,PETIT LARCENY,40.697394,-73.951286,11206,MISDEMEANOR,2022-09-03
354146,MANHATTAN,GRAND LARCENY,40.76900466,-73.99235,10019,FELONY,2022-09-02
354147,BROOKLYN,HARRASSMENT 2,40.660909,-73.995718,11232,VIOLATION,2022-09-02
354149,BRONX,HARRASSMENT 2,40.824932,-73.878321,10472,VIOLATION,2022-09-02
354150,BRONX,HARRASSMENT 2,40.866662,-73.866303,10467,VIOLATION,2022-09-03
354153,QUEENS,CRIMINAL MISCHIEF & RELATED OF,40.75554,-73.948159,11101,MISDEMEANOR,2022-09-03
