,vintage,weather_station,max_temp,avg_temp,min_temp,max_precip,avg_precip
245,2014.0,KPHX,,,,,
246,2015.0,SRUC,,,,,
247,1987.0,KAPC,,,,,
248,2002.0,KSTS,103.0,54.355,27.0,0.0,0.0
249,2003.0,KSTS,102.0,55.70333333333334,28.0,0.0,0.0
250,1999.0,KAPC,97.0,54.4175,27.0,0.0,0.0
251,2006.0,KSLE,104.0,53.0825,18.0,0.0,0.0
252,2008.0,CI11,,,,,
253,2006.0,K1S5,,,,,
254,2008.0,MOIC,,,,,
255,2001.0,KSTS,102.0,55.6275,26.0,0.0,0.0
256,2016.0,SRUC,,,,,
257,1977.0,KAPC,,,,,
258,1997.0,KAPC,,,,,
259,1995.0,KSTS,,,,,
260,2000.0,KSTS,107.0,54.451666666666675,28.0,0.0,0.0
261,2001.0,AR32,,,,,
262,1982.0,KAPC,,,,,
263,2007.0,FOGO,,,,,
264,1999.0,KSTS,101.0,53.865,27.0,0.0,0.0
265,1992.0,KAPC,,,,,
266,1996.0,KSTS,,,,,
267,1995.0,KAPC,,,,,
268,1989.0,KAPC,,,,,
269,1997.0,KSTS,104.0,62.94166666666666,36.0,0.0,0.0
270,1993.0,KSTS,,,,,
273,1993.0,KAPC,,,,,
274,1992.0,KSTS,,,,,
275,1991.0,KAPC,,,,,
276,1984.0,KAPC,,,,,
277,1972.0,KAPC,,,,,
278,1988.0,KAPC,,,,,
279,1994.0,KSTS,,,,,
280,2009.0,K1S5,,,,,
281,1981.0,KAPC,,,,,
282,1986.0,KAPC,,,,,
283,1987.0,KSTS,,,,,
284,2005.0,KPRB,106.0,58.41333333333333,25.0,0.0,0.0
286,1981.0,KSTS,,,,,
288,1994.0,KAPC,,,,,
289,2009.0,CTOC,,,,,
290,2000.0,AR32,,,,,
291,1990.0,KAPC,,,,,
292,2008.0,KUGN,88.0,46.469166666666666,-7.0,0.0,0.0
293,1985.0,KAPC,81.0,0.08916666666666667,-9.0,0.0,0.0
294,2006.0,CI11,,,,,
295,2004.0,K1S5,,,,,
296,1986.0,KSTS,,,,,
297,2009.0,KFOK,89.0,49.92000000000001,-14.0,0.0,0.0
298,2007.0,K1S5,,,,,
299,1974.0,KAPC,,,,,
300,1984.0,KSTS,,,,,
301,1976.0,KAPC,,,,,
302,1973.0,KAPC,,,,,
303,2006.0,CTOC,,,,,
304,2005.0,CTOC,,,,,
305,1998.0,CTOC,,,,,
306,1989.0,KSTS,,,,,
307,1978.0,KAPC,,,,,
308,1985.0,KSTS,,,,,
309,2008.0,CTOC,,,,,
310,1977.0,KSTS,,,,,
311,1991.0,KSTS,,,,,
312,1996.0,CTOC,,,,,
313,2007.0,KMMV,101.0,52.07333333333333,21.0,0.0,0.0
314,1967.0,KAPC,,,,,
315,1988.0,KSTS,,,,,
316,1983.0,KAPC,,,,,
317,1997.0,CTOC,,,,,
318,1991.0,CTOC,,,,,
319,1992.0,CTOC,,,,,
320,2004.0,AR32,,,,,
321,1990.0,KSTS,,,,,
322,1993.0,CTOC,,,,,
323,2002.0,CTOC,,,,,
324,1979.0,KAPC,,,,,
